SNR,PDR,NoisePower,TXPower,Jammed
0.656394453004622,0.9,-100,0,0
0.657935285053929,0.53,-100,-10,0
0.659476117103237,0.18,-100,-10,0
0.661016949152542,0.98,-100,0,0
0.662557781201851,0.15,-100,-10,0
0.664098613251156,0.85,-100,0,0
0.664098613251156,0.88,-100,0,0
0.665639445300462,0.79,-100,0,0
0.665639445300464,0.86,-100,0,0
0.667180277349769,0.76,-100,0,0
0.668721109399077,0.92,-100,0,0
0.670261941448382,0.14,-100,0,0
0.670261941448382,0.86,-100,0,0
0.673343605546994,0.51,-100,-10,0
0.676425269645609,0.45,-100,-10,0
0.677966101694917,0.99,-100,0,0
0.679506933744222,0.93,-100,-10,0
0.679506933744224,0.47,-100,-10,0
0.681047765793529,0.88,-100,0,0
0.682588597842835,0.93,-100,0,0
0.685670261941449,0.2,-100,0,0
0.687211093990755,0.75,-100,0,0
0.688751926040062,0.9,-100,0,0
0.690292758089367,0.55,-100,-10,0
0.691833590138675,0.87,-100,-10,0
0.693374422187982,0.01,-100,-10,0
0.693374422187982,0.02,-100,-10,0
0.693374422187982,0.02,-100,-10,0
0.693374422187982,0.07,-100,-10,0
0.693374422187982,0.24,-100,-10,0
0.693374422187982,0.84,-100,-10,0
0.697996918335902,0.87,-100,-10,0
0.69953775038521,0.92,-100,0,0
0.69953775038521,0.98,-100,0,0
0.702619414483822,0.95,-100,0,0
0.705701078582435,0.26,-100,0,0
0.705701078582435,0.89,-100,0,0
0.705701078582437,0.91,-100,0,0
0.707241910631742,0.67,-100,-10,0
0.710323574730355,0.8,-100,0,0
0.711864406779662,0.41,-100,0,0
0.713405238828968,0.82,-100,0,0
0.713405238828968,0.82,-100,0,0
0.713405238828968,0.9,-100,0,0
0.71648690292758,0.99,-100,0,0
0.716486902927582,0.93,-100,0,0
0.71802773497689,0.92,-100,0,0
0.719568567026195,0.77,-100,0,0
